Phen1,Phen2,Phen3,Phen4,Phen5,Phen6,Phen7,Phen8
1.563,5.468,5.065,5.194,4.13,3.367,5.373,5.516
2.034,10.922,6.311,7.615,5.768,6.304,2.482,2.528
2.364,2.124,3.239,2.743,2.364,1.84,3.03,2.242
2.964,9.539,6.988,5.998,6.792,5.578,3.809,1.907
2.645,5.1,5.295,3.898,3.376,3.399,2.797,1.409
0.712,5.448,6.697,4.643,4.718,4.96,1.739,1.308
3.135,16.93,13.391,9.658,9.753,7.14,5.084,4.145
3.526,11.537,14.205,10.654,8.935,6.771,6.576,4.114
1.79,4.364,4.546,3.745,3.658,3.422,3.959,2.299
4.28,13.725,14.495,9.182,8.091,10.912,4.727,2.941
2.05,7.979,4.586,5.443,4.262,4.075,2.067,1.795
2.637,4.062,4.279,4.358,3.293,4.152,2.775,3.074
2.333,8.19,12.62,10.687,8.457,8.821,5.59,3.801
1.474,4.81,4.496,2.51,2.17,1.733,1.484,0.797
1.068,9.321,10.411,6.382,5.837,10.577,5.939,3.348
0.711,6.861,5.717,5.469,4.49,3.297,2.164,1.361
1.466,7.754,7.275,5.883,5.874,6.363,2.77,1.192
1.182,2.424,2.337,1.619,1.32,1.538,1.285,0.448
4.233,7.786,10.244,8.197,8.637,7.476,9.719,9.335
1.595,5.237,7.225,6.425,4.174,5.136,7.029,3.239
2.865,18.57,20.321,15.059,13.543,15.717,5.671,1.542
1.08,7.913,6.541,8.451,7.524,7.44,3.717,1.768
4.505,15.657,17.645,12.429,12.443,9.825,5.743,5.094
1.282,3.968,2.555,2.192,2.865,2.597,1.855,1.929
6.706,18.489,19.33,14.288,14.512,14.103,8.971,5.76
3.427,9.579,7.976,7.09,6.895,6.488,6.447,2.99
4.256,9.405,9.411,6.139,5.478,5.516,4.788,2.376
2.575,6.398,9.901,7.115,5.623,4.883,5.519,4.458
2.532,14.869,13.691,14.825,12.576,10.583,8.85,4.005
2.098,12.074,8.346,6.723,7.59,5.582,2.618,1.632
2.659,7.882,10.134,7.976,7.806,7.291,2.733,1.758
2.531,9.076,6.702,5.571,3.024,4.653,3.233,2.187
1.525,7.217,5.992,6.852,3.494,4.402,1.694,0.849
3.284,5.463,4.94,5.184,5.17,3.811,4.195,2.752
2.492,5.995,5.735,4.586,5.339,3.589,2.862,2.781
3.686,14.105,16.493,10.063,11.33,13.966,8.202,4.324
2.742,12.833,12.697,9.238,9.994,5.406,5.891,2.55
5.255,9.668,8.679,7.433,7.049,8.159,6.241,5.296
3.134,5.846,5.304,4.135,2.259,3.587,2.931,1.591
1.803,7.055,5.61,5.056,4.837,3.991,2.818,2.353
2.281,3.249,3.621,3.493,2.267,2.089,1.865,1.067
5.699,7.794,8.036,7.059,6.406,6.609,7.343,6.238
4.829,7.04,11.244,8.633,5.429,8.559,4.744,2.761
1.518,4.866,4.448,3.517,3.065,4.775,2.509,2.246
3.265,6.366,4.441,4.266,3.505,3.71,1.295,0.977
1.608,5.304,3.012,3.195,2.914,1.776,0.776,1.461
1.6,8.223,8.533,6.141,6.137,6.064,1.881,1.337
2.661,12.836,12.961,10.071,11.806,9.805,8.211,5.516
3.136,14.73,15.141,9.859,9.021,10.607,6.002,3.398
5.624,11.578,10.23,7.981,7.393,9.296,8.517,4.543
2.541,6.046,8.114,3.71,4.95,5.076,3.824,2.212
2.427,7.581,6.273,4.038,3.941,4.007,5.266,3.428
2.225,1.779,2.477,1.636,1.406,1.597,2.265,2.34
6.845,22.065,19.812,17.285,16.391,16.354,10.505,6.8
0.923,3.255,2.003,1.681,0.715,1.259,0.697,0.352
4.053,8.531,9.668,9.812,7.649,8.142,8.083,6.511
2.492,12.687,14.869,8.403,7.029,9.595,4.784,1.939
5.14,10.549,15.352,8.039,10.515,11.415,5.406,6.062
3.189,8.068,5.63,4.271,4.573,3.312,3.506,1.403
3.823,18.621,10.886,9.434,7.177,9.469,6.418,5.306
7.965,23.701,25.493,21.263,15.935,19.104,13.769,13.451
2.801,12.28,9.385,9.561,7.872,6.178,5.741,2.16
2.11,7.574,7.51,6.963,4.337,5.289,5.127,2.743
4.419,27.827,24.207,19.181,18.98,20.86,13.964,6.946
3.763,5.23,7.023,6.248,4.749,5.198,5.865,4.656
2.239,4.846,5.416,5.256,3.418,3.311,2.059,1.69
1.898,8.39,9.013,5.059,5.63,4.722,3.584,3.262
5.063,15.221,15.448,14.042,9.27,12.062,5.231,3.977
1.808,9.854,9.591,9.473,6.66,6.473,2.709,1.937
2.081,8.363,11.448,9.996,8.066,6.268,1.848,1.695
3.052,27.405,17.269,15.889,15.9,14.787,8.64,3.67
2.842,16.912,17.751,14.66,11.313,14.274,7.213,3.703
1.453,6.511,5.916,5.494,4.193,4.459,2.023,1.536
1.754,6.56,5.431,5.646,5.055,3.444,2.005,1.88
2.767,3.507,5.794,3.097,4.039,3.759,2.045,2.275
1.692,3.91,2.957,2.34,2.131,2.017,1.077,1.186
3.677,7.146,5.271,3.639,3.778,3.903,3.969,2.852
2.469,9.767,5.802,5.317,7.674,6.132,4.078,3.594
3.027,10.137,5.023,5.198,4.262,5.684,7.099,4.935
3.855,6.985,8.804,7.456,8.484,8.921,6.23,4.546
3.771,17.306,13.7,9.491,8.936,6.693,11.339,8.35
1.049,2.052,2.126,1.308,0.952,1.082,2.138,1.667
1.164,8.639,9.253,5.381,3.746,4.558,2.837,1.729
4.66,13.742,11.914,8.616,8.324,8.258,4.733,2.686
2.468,6.986,6.947,6.357,6.168,5.958,4.195,2.625
3.801,6.214,6.303,4.447,5.023,4.02,4.438,4.378
3.365,6.517,5.278,3.97,4.965,5.802,2.773,4.384
5.983,21.409,18.636,18.702,16.124,11.886,9.995,6.689
2.516,8.415,8.5,8.188,7.778,4.097,2.726,2.208
5.145,23.234,20.721,15.696,19.05,17.633,10.942,5.053
1.784,15.54,13.135,12.122,9.234,8.748,5.511,2.32
7.201,25.16,25.626,18.918,19.615,14.988,13.797,9.056
5.699,13.811,17.849,13.674,12.896,11.607,12.29,10.242
1.885,10.923,7.764,6.178,5.988,4.62,3.039,2.022
2.754,13.102,10.615,7.775,7.789,6.909,8.438,5.685
0.76,4.037,5.681,3.929,3.806,2.533,3.737,1.678
1.686,7.777,8.47,3.847,5.18,5.443,2.139,1.971
1.762,13.659,13.402,10.249,9.393,8.125,7.618,2.466
2.812,6.367,8.971,6.344,5.185,5.082,7.197,7.468
4.083,6.054,6.568,5.27,5.19,4.454,5.7,4.978
1.428,18.367,15.818,14.535,9.201,13.311,4.451,2.92
1.588,10.414,12.123,7.355,6.653,7.427,1.375,1.231
2.478,13.141,9.398,9.189,5.472,8.967,7.975,2.518
2.966,4.782,7.399,5.432,5.322,3.22,3.437,3.658
3.473,13.192,15.809,13.039,12.853,11.454,7.749,5.068
5.147,13.249,10.366,11.307,8.521,8.498,6.441,3.878
2.825,6.548,8.444,8.311,5.236,6.637,3.144,2.36
3.673,7.291,7.335,5.044,5.789,4.235,7.43,3.342
2.409,13.451,12.641,12.639,10.618,9.596,4.67,3.158
0.524,4.03,2.371,2.352,1.558,2.595,1.893,1.433
2.301,8.218,10.057,7.214,6.108,6.979,4.131,2.422
3.933,12.369,12.902,8.677,11.792,8.867,6.996,5.793
2.602,6.132,3.568,3.574,2.758,2.827,4.193,3.572
1.864,8.179,10.582,7.345,7.438,5.365,1.984,1.11
3.303,10.197,9.198,6.73,4.669,6.965,3.789,2.62
1.856,6.613,6.903,4.977,3.889,4.761,3.209,3.395
2.508,16.109,10.153,11.253,9.883,8.645,6.53,2.186
4.639,14.921,10.501,10.696,10.393,12.711,7.67,6.804
1.727,9.035,7.575,7.948,5.061,5.568,2.76,1.292
5.191,24.014,20.617,15.974,12.81,15.052,9.294,4.408
5.039,12,13.977,11.067,7.861,9.816,4.664,2.759
3.678,12.703,16.7,8.229,6.354,9.386,3.854,1.676
4.546,14.34,17.027,10.229,11.3,10.144,7.99,3.922
8.526,14.284,14.482,12.646,12.503,11.189,10.566,9.173
1.528,8.92,6.504,5.408,4.218,6.67,1.646,1.159
5.37,15.09,17.534,12.92,11.079,8.943,9.851,8.661
5.179,6.864,10.24,6.148,6.503,5.769,3.652,4.007
1.589,8.296,9.017,7.33,5.561,5.461,1.227,0.906
3.708,17.372,16.074,12.398,9.705,12.609,5.465,4.3
1.285,2.38,2.002,2.863,2.854,2.163,1.29,0.762
8.262,20.907,16.112,13.691,13.345,14.623,14.733,8.114
3.7,6.773,7.685,4.938,3.921,5.329,3.631,3.176
1.098,5.98,7.454,3.187,4.34,2.838,1.783,1.335
2.931,4.234,2.292,2.499,1.872,2.551,1.459,2.083
3.745,7.909,10.22,7.813,5.284,6.956,8.03,3.61
1.878,8.387,9.628,7.594,7.019,7.061,5.357,4.503
3.483,14.529,13.411,12.222,9.707,10.546,7.346,3.86
2.403,3.512,4.003,3.481,2.865,2.722,3.032,4.053
2.999,7.947,12.259,8.463,6.019,6.301,4.65,3.27
1.798,4.511,4.352,3.087,1.936,2.502,1.652,0.843
5.826,12.329,13.048,12.442,9.921,7.666,9.774,8.71
6.269,10.755,6.639,6.193,5.444,5.628,5.024,3.986
2.047,5.679,6.103,2.397,3.474,3.702,1.717,0.756
1.427,6.225,3.319,2.822,2.938,2.679,1.724,1.627
6.12,19.129,13.298,14.643,11.439,12.654,10.449,10.542
6.937,21.99,25.984,20.816,19.547,14.403,11.016,5.89
2.541,6.87,7.755,6.458,5.945,6.297,3.231,2.286
3.228,13.762,15.237,14.137,10.741,11.723,6.579,3.866
3.929,9.606,9.887,8.534,6.258,6.639,10.487,7.479
1.111,3.781,5.648,3.077,3.682,3.814,2.439,0.602
1.732,6.44,9.085,5.558,4.81,4.722,4.281,1.737
4.842,6.598,8.005,6.364,4.083,4.988,3.696,4.326
3.428,11.722,10.202,9.793,6.647,7.399,6.046,4.511
4.56,19.667,21.529,16.104,15.152,15.722,7.924,6.615
4.854,11.031,12.931,9.292,6.177,6.732,10.74,6.33
3.424,11.358,8.881,5.838,5.654,3.592,3.56,2.126
2.873,6.47,4.697,4.372,3.634,4.125,4.435,2.552
1.058,6.588,4.334,3.833,4.867,2.081,2.194,1.361
3.353,14.699,13.908,11.374,8.882,9.848,7.987,4.248
2.856,4.155,3.708,3.141,1.947,1.743,3.663,3.07
6.008,17.056,13.521,12.427,12.043,11.229,9.505,4.843
3.165,7.889,10.876,6.838,6.125,5.845,3.214,1.39
2.754,10.714,8.506,8.238,5.358,7.369,2.251,1.819
2.717,4.452,3.871,4.881,3.883,4.277,2.951,3.069
5.349,11.219,8.72,7.817,8.532,9.024,5.127,3.976
4.032,13.317,14.959,9.261,10.283,9.298,5.883,3.538
2.37,6.005,5.315,4.983,4.338,5.873,3.872,2.08
1.138,2.744,3.051,2.19,1.572,1.748,1.185,0.665
1.63,7.178,6.958,5.961,4.58,5.355,3.015,1.94
3.287,18.166,25.226,14.63,15.602,16.087,8.487,3.274
2.038,8.782,6.125,4.729,3.212,4.724,4.413,3.923
2.004,8.97,7.29,6.711,4.283,5.612,2.905,1.596
2.629,7.584,7.27,4.302,3.744,7.009,3.609,2.878
5.927,13.595,14.709,12.879,8.822,11.464,8.774,9.476
1.746,6.774,6.455,5.366,5.413,5.841,2.694,1.682
2.958,3.637,4.309,3.561,2.113,2.352,2.02,1.206
3.607,15.78,13.67,9.151,8.019,12.821,2.126,1.089
2.008,8.235,7.96,6.273,6.518,5.325,2.946,2.096
3.528,14.845,17.862,12.558,7.439,10.168,6.041,3.663
3.074,9.014,9.737,6.264,6.246,7.539,5.967,3.987
1.766,5.836,5.308,5.367,3.223,4.615,1.719,0.838
2.694,10.343,10.176,9.702,6.847,8.17,5.911,3.319
2.408,9.484,11.986,8.233,11.376,9.395,4.256,2.683
2.034,4.848,3.797,3.227,2.78,2.558,2.563,2.447
1.482,3.294,2.913,2.503,2.057,1.988,1.91,1.635
1.335,4.701,5.111,3.612,4.14,3.309,2.963,1.453
4.169,17.261,17.181,12.283,11.807,13.387,14.086,6.74
4.18,18.604,19.475,14.086,14.127,11.423,6.219,3.902
4.832,13.555,10.561,8.157,6.026,8.38,7.168,3.711
1.023,3.695,3.873,2.937,2.054,2.439,3.01,1.764
2.933,4.35,5.154,4.776,4.588,3.127,2.933,4.299
4.618,12.093,12.168,9.257,6.825,8.996,3.878,2.258
7.775,14.829,13.538,11.305,10.032,9.063,6.487,7.241
3.208,11.564,11.398,8.486,8.402,9.635,5.02,4.403
3.201,5.503,5.793,3.303,3.37,3.234,2.22,1.262
3.373,8.235,10.488,8.889,6.531,7.986,5.398,2.927
2.195,8.622,8.111,5.765,6.92,5.084,3.527,2.565
1.865,4.958,6.158,6.89,6.189,4.443,2.523,2.443
2.045,12.064,11.683,8.124,10.41,7.294,3.1,2.976
3.578,3.816,3.358,2.457,3.159,3.558,3.838,5.025
2.86,6.232,5.783,4.422,4.994,3.762,3.2,1.614
2.578,11.964,11.525,10.172,9.732,9.467,5.72,3.941
0.593,7.525,6.515,5.973,3.731,4.729,1.637,0.917
2.472,12.537,9.751,7.991,8.076,6.784,4.936,2.514
2.613,13.007,11.383,8.711,8.894,6.12,9.535,6.616
3.413,16.57,17.267,12.443,10.705,13.171,5.736,3.309
1.217,3.571,2.858,1.839,1.322,1.332,1.099,1.173
1.058,4.782,6.838,5.231,3.461,3.111,1.071,1.102
2.242,14.373,15.899,8.166,7.523,10.718,6.715,3.688
5.837,30.269,29.738,24.49,17.248,19.2,11.33,4.721
4.825,19.969,21.515,16.225,15.251,14.805,7.61,3.274
3.113,5.828,5.505,3.743,2.725,3.59,2.619,2.549
3.149,8.568,9.786,6.979,6.984,7.449,4.881,3.453
7.306,16.521,17.271,17.304,11.985,16.134,16.798,8.245
3.876,9.424,12.604,8.73,6.247,7.516,10.896,9.505
1.233,4.907,4.338,3.482,2.505,2.371,0.674,0.346
3.101,3.458,4.537,4.312,2.504,2.25,1.236,1.271
1.995,5.007,3.432,3.399,2.737,3.178,1.791,1.029
3.992,11.732,9.642,6.441,7.049,5.355,3.597,3.417
0.734,4.967,4.295,3.872,3.09,4.465,1.12,0.902
3.426,13.764,15.14,8.501,10.004,10.72,8.964,5.219
4.056,6.636,4.792,2.171,3.465,4.528,4.121,1.456
2.275,5.904,3.946,3.161,3.887,3.148,1.404,1.617
2.153,7.393,7.66,6.12,4.32,4.794,3.466,1.997
3.562,14.903,13.463,13.217,10.311,10.199,9.287,6.083
2.476,3.682,4.053,2.655,2.737,2.296,2.006,1.876
2.034,6.69,8.731,5.313,5.129,5.102,3.892,3.796
2.839,2.955,3.231,3.518,2.536,3.142,3.853,4.2
3.518,7.702,7.289,8.057,6.103,5.667,8.379,6.088
1.872,6.176,6.252,5.196,4.162,5.328,3.677,3.41
1.88,10.735,13.479,7.197,7.826,7.783,2.259,1.259
2.374,3.38,4.198,3.538,3.872,3.435,2.829,4.383
2.261,4.911,6.097,4.337,5.43,4.193,4.697,2.852
3.356,7.215,7.693,6.1,7.418,5.893,5.544,4.951
0.41,8.399,6.969,4.88,4.302,3.393,1.322,0.814
3.657,9.119,7.827,7.033,5.896,7.171,5.912,5.502
4.045,3.554,3.227,3.057,1.993,2.456,1.557,2.627
0.66,8.335,7.435,7.996,5.327,6.52,2.126,1.769
6.505,15.713,16.795,12.465,11.095,17.806,11.372,6.593
2.865,11.331,10.48,8.145,7.786,6.971,7.759,4.925
2.244,9.712,7.114,5.917,5.361,7.32,2.744,1.221
1.129,9.413,9.772,5.698,4.702,4.645,1.526,0.85
2.477,14.893,14.566,12.778,11.408,11.333,4.967,2.311
1.187,5.982,3.304,3.293,2.433,2.63,1.408,0.83
2.206,11.038,10.576,9.358,6.986,9.728,4.372,1.502
3.563,15.919,17.568,12.899,10.727,12.558,8.407,3.502
3.981,13.899,16.251,12.648,11.246,11.903,5.834,2.795
4.517,14.655,13.354,13.824,11.209,12.521,6.609,3.583
3.156,10.012,6.652,6.744,5.609,4.501,5,5.887
2.696,7.032,6.821,3.814,5.159,4.837,1.713,3.078
1.9,5.285,4.177,4.286,2.516,4.022,3.423,3.192
2.706,10.392,5.18,6.618,5.628,4.231,2.898,2.968
3.475,8.445,6.84,5.121,5.025,6.153,5.722,4.138
0.592,3.847,5.071,3.261,2.503,2.617,1.099,0.581
4.719,10.788,10.047,8.98,6.814,9.08,5.325,4.073
0.822,4.26,2.198,3.024,2.385,1.577,1.184,1.149
1.957,6.51,8.17,4.981,3.85,6.335,3.676,1.296
3.679,10.754,17.427,10.425,9.543,11.586,8.009,4.602
1.294,5.258,6.045,4.237,3.71,3.615,2.539,1.999
2.274,3.108,3.936,3.154,2.792,1.789,1.94,1.136
5.429,15.296,19.168,12.202,11.083,11.866,6.658,3.922
1.185,1.665,1.867,1.373,1.497,1.425,2.369,2.786
6.211,18.155,17.339,10.884,12.256,14.92,12.032,7.569
3.602,9.314,9.036,5.704,6.859,8.526,4.751,3.924
1.369,2.758,2.642,1.516,2.085,0.914,1.746,0.559
3.658,17.133,11.945,11.625,8.449,8.262,5.816,3.08
4.06,18.074,14.427,12.028,11.286,12.942,8.618,7.515
1.729,4.963,5.897,6.177,4.471,5.19,1.978,2.117
2.121,9.416,7.152,5.766,5.128,5.347,5.052,3.085
2.262,7.691,7.152,7.559,7.124,7.896,4.893,2.782
5.116,10.377,10.931,6.673,6.648,6.254,5.399,5.272
2.296,7.686,6.026,6.304,5.222,5.836,2.817,1.473
2.403,14.623,14.421,11.207,10.206,10.128,4.92,3.227
4.371,19.977,17.914,12.782,9.174,13.642,7.287,2.949
5.572,19.74,26.892,19.768,18.523,16.647,8.917,6.441
1.674,1.475,1.424,1.362,0.778,0.663,0.709,0.738
4.973,16.55,12.832,12.002,11.29,8.992,12.361,8.219
2.459,6.769,4.728,3.343,2.601,3.435,3.561,1.496
4.095,7.423,6.055,6.522,6.544,5.744,3.551,4.022
2.831,15.472,13.079,11.362,11.298,10.916,5.977,4.698
1.825,5.255,5.998,4.019,4.347,4.347,3.555,2.177
4.103,15.401,13.904,12.709,12.839,15.275,8.637,4.949
1.077,1.814,1.836,1.149,1.507,1.092,1.691,1.923
4.268,11.28,8.141,7.239,5.035,4.937,4.42,3.23
4.761,12.613,13.644,12.148,10.647,12.126,8.253,6.132
2.333,12.137,11.095,10.113,9.518,7.395,3.308,2.582
1.766,5.268,4.814,4.042,3.556,3.452,3.102,2.24
3.017,6.274,7.926,5.822,4.266,3.822,3.575,1.732
2.777,9.598,9.941,6.544,6.024,6.19,7.417,2.276
0.616,3.946,4.15,3.503,3.096,1.89,1.066,0.656
5.59,15.816,16.537,14.71,11.605,14.206,8.66,8.092
0.652,2.271,3.277,1.64,1.854,0.992,1.668,0.608
1.721,2.162,2.049,2.073,1.177,1.197,1.614,3.608
2.472,7.165,4.906,3.684,3.706,4.311,2.589,1.703
3.089,9.48,11.511,7.001,6.849,7.66,3.638,2.373
3.357,9.255,9.686,9.482,7.612,6.698,4.031,2.565
1.871,6.806,6.327,4.873,3.348,4.381,3.19,1.562
2.564,6.201,6.289,4.198,3.089,4.135,3.34,3.22
1.477,4.572,4.203,2.87,3.324,1.681,1.72,1.007
2.252,19.542,22.706,18.5,16.119,21.848,10.267,3.176
4.483,15.693,19.714,17.13,10.431,13.903,6.289,3.738
3.053,5.698,8.106,4.16,4.078,4.525,5.992,5.274
5.306,16.9,17.473,13.067,15.18,13.014,5.736,5.17
4.991,24.644,25.303,17.042,18.298,18.178,13.598,8.609
6.064,18.708,17.293,11.449,12.58,12.703,14.499,8.239
3.406,12.702,11.413,9.697,6.618,8.337,2.941,3.167
2.833,10.531,7.908,4.99,5.164,5.711,3.661,3.11
0.996,3.052,4.306,3.168,2.675,2.8,1.869,0.895
3.336,9.422,9.653,11.388,7.618,8.03,5.614,4.275
7.147,15.023,18.841,13.052,14.507,13.021,10.653,7.072
3.09,5.727,6.929,4.045,4.408,3.953,4.634,2.658
6.296,15.916,14.616,12.118,10.719,10.714,8.357,5.502
1.836,7.153,7.878,5.721,5.277,6.121,3.376,1.884
3.101,17.689,14.691,14.215,12.479,8.643,4.024,4.285
1.453,3.048,4.945,3.243,2.491,3.039,2.587,2.885
0.719,2.833,2.428,2.594,2.707,2.114,0.882,1.139
3.728,15.871,13.732,11.471,9.99,9.058,7.487,4.249
1.998,8.747,7.702,9.296,4.875,4.88,4.549,2.513
2.094,2.881,1.432,1.352,0.963,0.639,0.66,0.782
2.672,15.852,11.544,12.439,10.052,11.41,6.277,2.955
3.776,19.072,23.141,14.977,12.627,15.757,5.414,2.928
4.51,23.202,22.134,14.371,13.981,16.586,6.297,4.751
3.832,4.432,4.907,5.025,2.945,3.016,4.644,2.616
4.626,24.474,23.441,20.381,16.017,15.957,9.669,6.235
1.541,4.078,4.57,3.03,2.452,2.508,2.224,0.859
3.227,9.547,10.783,7.558,7.596,8.731,6.871,3.335
2.959,4.555,5.076,5.025,3.463,3.007,6.902,6.902
2.18,12.144,9.143,9.231,10.598,8.372,5.331,2.409
0.662,3.746,3.139,3.264,1.817,1.739,0.968,0.873
4.087,7.144,8.142,5.56,7.089,4.835,3.895,5.76
0.661,4.849,4.59,2.381,1.819,2.455,1.408,0.493
3.857,5.928,6.608,6.485,5.952,5.974,5.231,4.312
3.95,16.578,16.863,13.383,13.526,13.472,5.293,4.226
3.358,17.853,24.855,17.17,17.655,19.531,9.601,5.218
1.215,3.809,2.753,2.956,1.589,3.181,1.075,0.354
3.373,9.661,10.563,9.443,7.088,8.707,6.797,2.484
1.372,3.151,2.395,1.891,1.725,1.925,1.512,1.128
1.68,11.456,9.089,8.395,5.583,4.782,2.485,0.737
3.915,11.666,8.654,6.7,4.747,6.56,7.435,3.606
4.177,9.223,7.482,8.829,6.864,9.063,5.874,4.773
2.91,17.693,22.659,16.51,15.767,16.071,10.325,7.367
2.411,6.495,8.423,5.182,5.399,3.99,3.154,1.644
5.275,17.455,13.742,11.31,10.429,12.368,12.758,5.75
3.943,8.089,6.761,5.956,4.723,5.168,4.398,3.387
2.204,8.144,8.69,5.953,6.95,5.942,2.843,2.07
5.213,12.353,10.67,10.465,7.225,9.831,8.205,2.57
1.603,4.234,3.459,2.37,2.425,1.948,0.867,0.821
0.701,2.257,2.46,2.124,2.229,1.803,0.373,0.82
4.45,4.683,4.559,3.231,2.302,3.361,4.338,4.308
3.038,13.368,12.604,9.051,8.859,9.066,4.674,3.759
1.443,3.461,4.651,4.314,2.523,2.4,2.105,1.963
3.443,13.187,12.812,9.621,7.192,8.35,6.91,3.963
1.316,1.908,2.041,1.445,1.197,1.326,0.408,0.317
1.862,16.845,11.916,11.542,8.461,7.323,4.208,0.911
0.843,4.03,4.08,2.46,2,3.829,1.039,0.905
3.121,7.149,9.552,9.087,5.07,6.867,5.679,3.225
2.982,11.293,11.555,11.136,7.868,12.591,4.246,5.053
1.534,6.154,5.603,5.485,4.466,4.697,1.895,1.348
5,10.733,11.945,8.798,10.365,9.005,8.872,5.969
4.279,12.084,11.272,8.728,8.56,8.532,3.985,4.681
6.027,21.522,22.15,14.396,16.075,11.748,9.146,6.752
3.487,15.874,10.54,11.171,7.841,11.08,7.228,3.732
3.314,13.716,8.588,10.887,6.981,7.336,4.101,2.624
1.29,6.829,5.093,3.733,3.758,2.713,1.699,1.371
1.427,3.499,5.103,2.894,5.066,3.87,2.711,2.109
2.954,12.32,12.177,9.913,11.484,9.919,4.911,4.277
2.235,13.113,13.286,10.786,7.261,10.134,2.468,1.617
4.539,8.75,9.095,7.873,5.967,8.81,4.871,4.86
4.102,8.834,8.5,8.325,6.793,7.2,4.636,2.963
6.91,22.76,22.199,17.687,18.555,17.99,15.13,9.875
1.364,5.539,4.85,4.429,3.962,3.421,1.65,1.339
3.779,10.665,11.713,7.976,8.581,8.853,7.318,5.486
4.758,13.31,14.18,10.07,10.549,13.424,8.523,5.041
3.038,9.951,11.461,11.092,11.014,9.401,6.304,3.872
4.929,14.457,18.574,11.373,11.069,15.862,10.939,7.047
1.476,10.927,12.102,14.554,8.05,10.304,4.407,2.016
2.26,7.777,10.606,7.869,5.289,9.165,3.953,2.752
4.576,10.46,9.959,7.046,8.072,8.253,5.75,3.416
4.095,9.727,11.869,7.851,5.808,10.273,8.824,4.747
3.186,6.131,6.308,5.007,3.93,3.783,2.742,1.881
8.224,17.447,18.87,17.889,14.892,16.76,13.07,11.88
1.777,4.495,3.788,3.893,3.219,4.332,2,2.328
3.634,3.763,2.11,3.021,1.848,2.372,2.085,1.874
1.952,2.424,2.675,2.638,1.828,2.293,2.033,1.84
1.406,2.258,0.886,0.563,0.583,0.34,0.952,0.475
1.52,9.622,12.164,8.366,6.999,7.702,3.631,2.413
2.572,5.531,5.317,5.319,6.226,3.945,4.41,5.6
3.115,10.772,10.447,8.095,7.568,10.237,3.874,2.735
2.508,9.136,9.79,5.9,5.952,9.089,4.078,2.032
3.157,16.222,13.925,15.038,11.638,16.739,8.532,5.199
2.9,13.11,15.09,11.305,11.47,10.999,7.745,3.599
2.734,6.673,9.507,7.532,7.133,6.101,4.5,2.636
2.721,5.085,5.041,4.493,4.075,4.941,2.766,2.472
5.167,5.352,4.652,3.427,3.402,2.744,4.389,3.234
2.636,8.354,6.292,6.53,4.924,6.387,3.62,1.309
2.648,6.037,5.88,4.95,4.413,3.849,3.43,1.997
2.124,4.414,4.078,2.532,1.986,2.352,1.59,0.839
5.975,32.405,25.183,22.875,21.898,17.801,13.232,9.217
2.966,11.07,10.474,6.191,5.74,5.2,3.066,3.134
4.427,12.44,13.882,12.376,9.582,7.495,8.035,3.302
2.419,6.759,6.085,7.51,5.726,4.161,3.965,4.883
2.123,9.077,4.609,4.47,3.484,3.907,2.21,0.929
5.372,10.908,11.242,7.823,7.273,5.99,4.502,2.926
2.508,7.413,8.563,6.623,4.873,4.699,2.219,1.452
2.604,13.894,13.17,13.256,12.715,11.172,3.744,2.451
2.481,6.557,9.499,5.404,4.506,3.711,2.725,2.091
3.46,7.618,6.805,5.115,5.527,5.298,4.331,2.65
2.989,6.485,3.72,4.72,3.133,2.482,4.584,3.187
2.358,6.519,6.694,4.989,4.587,5.719,3.107,1.894
2.799,27.27,31.406,23.19,24.088,25.756,12.944,8.334
3.668,12.665,13.611,8.992,12.632,9.786,7.595,7.707
4.096,15.956,15.176,9.975,7.906,7.418,6.287,4.207
2.791,7.687,7.914,4.65,5.579,7.815,3.373,2.758
1.566,2.031,2.049,1.942,1.527,1.262,1.736,2.116
3.951,10.595,9.539,8.393,6.66,9.452,4.327,3.067
5.777,19.506,20.595,13.999,10.936,16.544,8.913,6.415
4.165,12.633,17.613,13.73,13.689,14.34,6.347,2.912
2.104,17.263,16.077,9.481,7.154,9.519,5.917,1.389
2.658,8.417,6.39,4.537,3.529,3.5,3.155,2.935
1.938,6.837,5.813,5.677,2.999,2.89,2.454,1.974
3.341,10.543,9.668,7.98,7.94,8.819,4.569,1.528
1.137,4.444,5.438,5.528,4.432,4.688,2.061,2.712
2.84,6.265,5.131,4.532,2.604,3.364,1.483,1.431
1.783,9.189,8.547,5.54,5.133,5.017,2.26,2.022
3.668,6.695,7.686,7.32,6.955,4.566,5.114,2.431
1.193,3.336,4.723,4.76,2.622,2.606,2.043,1.515
2.403,15.94,13.502,11.536,8.519,8.505,8.499,4.831
0.62,10.671,8.504,6.89,5.878,6.819,1.59,0.506
4.075,4.301,4.051,4.381,2.749,3.255,3.023,2.79
3.622,6.241,8.506,5.012,4.357,4.378,3.582,4.28
7.002,20.057,15.176,13.247,12.296,12.022,10.573,6.829
3.521,15.388,17.922,13.533,12.309,11.365,7.321,3.204
4.411,19.682,16.012,16.119,12.942,12.463,4.892,3.319
3.238,10.465,8.954,6.925,6.997,5.707,5.239,3.493
3.237,9.216,8.764,6.708,6.299,5.768,6.295,3.46
3.551,15.844,15.471,15.739,10.314,12.605,9.155,5.124
